name,player style,nationality,base price (in cr),status,Team,Price in Cr
Josh Hazlewood,Bowler,Australia,2.0,remaining,,
Yash Dayal,Bowler,India,1.5,retained,Royal Challengers Bangalore,5.0
KC Cariappa,Bowler,India,0.5,remaining,,
Anukul Roy,Allrounder,India,1.5,remaining,,
Deepak Chahar,Bowler,India,1.5,remaining,,
Ripal Patel,Allrounder,India,0.2,remaining,,
Matthew Wade,WK-Batter,Australia,1.5,remaining,,
Wriddhiman Saha,WK-Batter,India,0.5,remaining,,
Vicky Ostwal,Allrounder,India,0.5,remaining,,
Ambati Rayudu,WK-Batter,India,1.5,remaining,,
Darshan Nalkande,Bowler,India,0.2,remaining,,
Ishan Kishan,WK-Batter,India,0.5,remaining,,
Mahipal Lomror,Allrounder,India,2.0,remaining,,
Dinesh Karthik,WK-Batter,India,2.0,remaining,,
Rajvardhan Hangargekar,Bowler,India,0.2,remaining,,
Jonny Bairstow,WK-Batter,England,2.0,remaining,,
Washington Sundar,Allrounder,India,2.0,remaining,,
Nitish Rana,Allrounder,India,1.0,remaining,,
Rinku Singh,Batter,India,1.5,retained,Kolkata Knight Riders,13.0
Harshal Patel,Bowler,India,0.5,remaining,,
Krunal Pandya,Allrounder,India,2.0,remaining,,
Maheesh Theekshana,Bowler,Sri Lanka,0.2,remaining,,
Mitchell Marsh,Allrounder,Australia,0.5,remaining,,
Karn Sharma,Bowler,India,0.2,remaining,,
Chetan Sakariya,Bowler,India,0.2,remaining,,
Navdeep Saini,Bowler,India,1.0,remaining,,
Lungi Ngidi,Bowler,South Africa,1.5,remaining,,
Khaleel Ahmed,Bowler,India,0.2,remaining,,
Jayant Yadav,Allrounder,India,1.0,remaining,,
Vijay Shankar,Allrounder,India,1.5,remaining,,
Liam Livingstone,Allrounder,England,1.5,remaining,,
Marco Jansen,Allrounder,South Africa,0.2,remaining,,
Krishnappa Gowtham,Allrounder,India,0.2,remaining,,
Karan Sharma,Allrounder,India,0.5,remaining,,
Shivam Dube,Allrounder,India,2.0,retained,Chennai Super Kings,12.0
Mohd Arshad Khan,Bowler,India,1.5,remaining,,
Lalit Yadav,Allrounder,India,1.0,remaining,,
Baltej Singh,Allrounder,India,1.0,remaining,,
Aiden Markram,Batter,South Africa,1.0,remaining,,
Kyle Mayers,Allrounder,West Indies,2.0,remaining,,
Kuldip Yadav,Bowler,India,0.5,remaining,,
Wanindu Hasaranga,Allrounder,Sri Lanka,1.0,remaining,,
Devdutt Padikkal,Batter,India,0.2,remaining,,
David Miller,Batter,South Africa,0.2,remaining,,
Shimron Hetmyer,Batter,West Indies,2.0,retained,Rajasthan Royals,11.0
David Warner,Batter,Australia,1.5,remaining,,
Mohammed Shami,Bowler,India,0.2,remaining,,
Kagiso Rabada,Bowler,South Africa,0.2,remaining,,
Shreyas Iyer,Batter,India,2.0,remaining,,
Faf du Plessis,Batter,South Africa,1.0,remaining,,
Shikhar Dhawan,Batter,India,2.0,remaining,,
Quinton de Kock,WK-Batter,South Africa,0.5,remaining,,
Trent Boult,Bowler,New Zealand,1.5,remaining,,
Umran Malik,Bowler,India,1.5,remaining,,
Abdul Samad,Allrounder,India,0.5,remaining,,
Ravichandran Ashwin,Allrounder,India,0.5,remaining,,
Mohammed Siraj,Bowler,India,0.5,remaining,,
Glenn Maxwell,Allrounder,Australia,1.0,remaining,,
Virat Kohli,Batter,India,2.0,retained,Royal Challengers Bangalore,21.0
Yashasvi Jaiswal,Batter,India,0.2,retained,Rajasthan Royals,18.0
Jos Buttler,WK-Batter,England,2.0,remaining,,
Sanju Samson,WK-Batter,India,0.5,retained,Rajasthan Royals,18.0
Arshdeep Singh,Bowler,India,0.5,remaining,,
Suryakumar Yadav,Batter,India,0.5,retained,Mumbai Indians,16.35
Jasprit Bumrah,Bowler,India,2.0,retained,Mumbai Indians,18.0
Akash Deep,Bowler,India,0.5,remaining,,
Rohit Sharma,Batter,India,1.0,retained,Mumbai Indians,16.3
Dwaine Pretorius,Allrounder,South Africa,1.0,remaining,,
KL Rahul,WK-Batter,India,2.0,remaining,,
Marcus Stoinis,Allrounder,Australia,1.5,remaining,,
Sunil Narine,Allrounder,West Indies,0.5,retained,Kolkata Knight Riders,12.0
Venkatesh Iyer,Allrounder,India,1.0,remaining,,
Ravindra Jadeja,Allrounder,India,1.0,retained,Chennai Super Kings,18.0
Varun Chakaravarthy,Bowler,India,1.0,retained,Kolkata Knight Riders,12.0
Andre Russell,Allrounder,West Indies,1.5,retained,Kolkata Knight Riders,12.0
Shubman Gill,Batter,India,0.5,retained,Gujarat Titans,16.5
Rashid Khan,Bowler,Afghanistan,0.5,retained,Gujarat Titans,18.0
Hardik Pandya,Allrounder,India,0.5,retained,Mumbai Indians,16.35
Anrich Nortje,Bowler,South Africa,1.5,remaining,,
Prithvi Shaw,Batter,India,0.2,remaining,,
MS Dhoni,WK-Batter,India,0.2,retained,Chennai Super Kings,4.0
Moeen Ali,Allrounder,England,0.5,remaining,,
Ruturaj Gaikwad,Batter,India,1.0,retained,Chennai Super Kings,18.0
Rishabh Pant,WK-Batter,India,1.5,remaining,,
Axar Patel,Allrounder,India,1.0,retained,Delhi Capitals,16.5
Tilak Verma,Allrounder,India,2.0,retained,Mumbai Indians,8.0
Yash Dayal,Bowler,India,2.0,retained,Royal Challengers Bangalore,4.0
Patt Cummins,Bowler,Australia,2.0,retained,Sunrisers Hyderabad,18.0
Abhishek Porel,WK-Batter,India,1.0,retained,Delhi Capitals,4.0
Jake Fraser-McGurk,Batter,Australia,0.2,remaining,,
Shardul Thakur,Bowler,India,0.2,remaining,,
James Anderson,Bowler,England,1.2,remaining,,
Ashutosh Sharma,WK-Batter,India,0.2,remaining,,
